Cluster,Slope,P_value,R_squared,Significant
0,-0.1652959155320923,0.021031958906524872,0.08842742608910514,True
1,0.12420116699083082,0.3272052330518014,0.016554987051987324,False
2,0.028424562378438423,0.728207914850862,0.00209794791237905,False
3,0.43553764934704103,2.9326729933387696e-09,0.4579343134066687,True
4,-0.4525701583773271,0.00024592509784104877,0.20843438700733763,True
5,0.10464017782717425,0.2842120907646517,0.0197463977038973,False
6,-0.07368713531536544,0.436443530880938,0.010476694102167006,False
