year,month,0,1,2,3,4,5,6,7,8,9
1971,8,0,0,0,0,6,0,0,25,0,0
1971,9,11,0,0,0,16,1,0,2,0,0
1971,10,7,0,0,0,0,22,2,0,0,0
1971,11,0,0,5,12,0,3,6,0,0,4
1971,12,0,10,6,8,0,0,2,0,0,5
1972,1,0,21,2,3,0,0,0,0,0,5
1972,2,0,16,0,0,0,0,1,0,2,10
1972,3,0,11,4,6,0,0,2,0,4,4
1972,4,0,0,3,3,0,1,18,0,0,5
1972,5,10,0,0,0,4,9,8,0,0,0
1972,6,3,0,0,0,19,0,0,8,0,0
1972,7,0,0,0,0,0,0,0,31,0,0
1972,8,0,0,0,0,0,0,0,31,0,0
1972,9,16,0,0,0,8,1,0,5,0,0
1972,10,17,0,2,2,0,7,3,0,0,0
1972,11,0,1,2,10,0,7,4,0,0,6
1972,12,0,15,0,0,0,0,0,0,0,16
1973,1,0,16,3,6,0,0,0,0,0,6
1973,2,0,4,2,19,0,0,0,0,3,0
1973,3,0,6,12,3,0,4,1,0,0,5
1973,4,0,0,7,6,0,0,17,0,0,0
1973,5,13,0,0,0,4,12,2,0,0,0
1973,6,0,0,0,0,19,0,0,11,0,0
1973,7,0,0,0,0,0,0,0,31,0,0
1973,8,0,0,0,0,6,0,0,25,0,0
1973,9,8,0,0,0,22,0,0,0,0,0
1973,10,8,2,1,0,0,5,15,0,0,0
1973,11,0,4,6,17,0,0,3,0,0,0
1973,12,0,0,3,17,0,0,2,0,4,5
1974,1,0,4,0,3,0,0,0,0,0,24
1974,2,0,7,3,2,0,0,0,0,2,14
1974,3,0,21,0,1,0,0,2,0,1,6
1974,4,0,7,15,0,0,0,6,0,2,0
1974,5,10,0,0,0,3,8,10,0,0,0
1974,6,7,0,0,0,15,1,0,7,0,0
1974,7,0,0,0,0,8,0,0,23,0,0
1974,8,0,0,0,0,9,0,0,22,0,0
1974,9,0,0,0,0,22,5,0,3,0,0
1974,10,12,0,1,0,2,4,12,0,0,0
1974,11,0,7,0,5,0,2,8,0,0,8
1974,12,0,0,0,21,0,0,0,0,0,10
1975,1,0,1,0,10,0,0,0,0,0,20
1975,2,0,16,2,0,0,0,0,0,6,4
1975,3,0,6,2,1,0,0,5,0,9,8
1975,4,4,1,0,0,0,5,20,0,0,0
1975,5,21,0,0,0,0,8,2,0,0,0
1975,6,7,0,0,0,11,0,4,8,0,0
1975,7,0,0,0,0,1,0,0,30,0,0
1975,8,0,0,0,0,1,0,0,30,0,0
1975,9,0,0,0,0,20,6,0,4,0,0
1975,10,13,0,0,0,3,15,0,0,0,0
1975,11,1,7,3,0,0,8,6,0,0,5
1975,12,0,0,13,14,0,0,2,0,1,1
1976,1,0,0,3,21,0,0,0,0,7,0
1976,2,0,16,0,7,0,0,0,0,5,1
1976,3,0,12,1,8,0,0,0,0,7,3
1976,4,1,4,4,2,0,0,18,0,0,1
1976,5,13,0,0,0,0,12,6,0,0,0
1976,6,12,0,0,0,11,1,0,6,0,0
1976,7,0,0,0,0,2,0,0,29,0,0
1976,8,1,0,0,0,1,0,0,29,0,0
1976,9,16,0,0,0,14,0,0,0,0,0
1976,10,2,0,0,0,0,25,4,0,0,0
1976,11,0,0,6,3,0,11,6,0,0,4
1976,12,0,8,6,0,0,0,3,0,5,9
1977,1,0,7,2,1,0,0,0,0,15,6
1977,2,0,0,1,1,0,0,0,0,14,12
1977,3,0,2,2,4,0,1,9,0,3,10
1977,4,0,0,1,2,0,2,20,0,0,5
1977,5,21,0,0,0,0,5,5,0,0,0
1977,6,9,0,0,0,14,0,0,7,0,0
1977,7,0,0,0,0,2,0,0,29,0,0
1977,8,0,0,0,0,11,0,0,20,0,0
1977,9,12,0,0,0,15,3,0,0,0,0
1977,10,7,0,0,0,2,20,2,0,0,0
1977,11,0,1,5,3,0,7,4,0,5,5
1977,12,0,19,1,9,0,0,0,0,0,2
1978,1,0,5,2,7,0,0,0,0,6,11
1978,2,0,4,3,1,0,0,0,0,14,6
1978,3,0,6,0,3,0,0,2,0,3,17
1978,4,0,2,5,0,0,2,20,0,1,0
1978,5,21,0,0,0,0,2,8,0,0,0
1978,6,11,0,0,0,16,0,0,3,0,0
1978,7,0,0,0,0,1,0,0,30,0,0
1978,8,0,0,0,0,3,0,0,28,0,0
1978,9,0,0,0,0,26,3,1,0,0,0
1978,10,9,2,3,2,3,8,4,0,0,0
1978,11,0,3,2,7,0,11,0,0,0,7
1978,12,0,11,1,0,0,0,0,0,17,2
1979,1,0,5,5,4,0,0,0,0,15,2
1979,2,0,8,3,1,0,0,0,0,15,1
1979,3,0,0,0,3,0,0,4,0,10,14
1979,4,1,2,7,1,0,0,18,0,0,1
1979,5,1,0,0,0,5,16,9,0,0,0
1979,6,3,0,0,0,12,0,0,15,0,0
1979,7,0,0,0,0,4,0,0,27,0,0
1979,8,0,0,0,0,3,0,0,28,0,0
1979,9,1,0,0,0,28,0,0,1,0,0
1979,10,11,0,0,0,0,18,2,0,0,0
1979,11,0,8,0,8,0,3,7,0,0,4
1979,12,0,2,1,7,0,0,0,0,1,20
1980,1,0,8,5,0,0,0,0,0,14,4
1980,2,0,18,2,3,0,0,0,0,3,3
1980,3,0,6,4,4,0,1,1,0,8,7
1980,4,1,7,4,2,0,0,15,0,0,1
1980,5,24,0,0,0,2,2,3,0,0,0
1980,6,2,0,0,0,9,0,0,19,0,0
1980,7,0,0,0,0,2,0,0,29,0,0
1980,8,0,0,0,0,6,0,0,25,0,0
1980,9,5,0,0,0,23,0,0,2,0,0
1980,10,0,1,0,0,0,15,15,0,0,0
1980,11,4,2,5,5,0,0,3,0,4,7
1980,12,0,0,7,17,0,0,0,0,2,5
1981,1,0,8,4,19,0,0,0,0,0,0
1981,2,0,13,0,10,0,0,0,0,5,0
1981,3,0,4,0,0,0,0,0,0,14,13
1981,4,2,5,10,0,0,4,8,0,1,0
1981,5,21,0,0,0,2,2,6,0,0,0
1981,6,3,0,0,0,15,0,0,12,0,0
1981,7,0,0,0,0,3,0,0,28,0,0
1981,8,0,0,0,0,0,0,0,31,0,0
1981,9,0,0,0,0,21,2,0,7,0,0
1981,10,0,0,0,0,5,14,12,0,0,0
1981,11,0,2,8,11,0,5,0,0,0,4
1981,12,0,2,5,2,0,0,0,0,22,0
1982,1,0,9,3,7,0,0,0,0,12,0
1982,2,0,15,0,0,0,0,0,0,1,12
1982,3,0,12,1,1,0,0,4,0,2,11
1982,4,0,9,4,0,0,0,17,0,0,0
1982,5,15,0,0,0,3,5,8,0,0,0
1982,6,13,0,0,0,15,0,0,2,0,0
1982,7,0,0,0,0,3,0,0,28,0,0
1982,8,0,0,0,0,15,0,0,16,0,0
1982,9,0,0,0,0,25,5,0,0,0,0
1982,10,6,0,0,0,2,21,2,0,0,0
1982,11,0,6,0,3,0,5,3,0,0,13
1982,12,0,9,0,9,0,0,0,0,4,9
