year,month,0,1,2,3,4,5,6,7,8,9
2007,3,0,11,1,5,0,0,5,0,0,9
2007,4,6,3,7,1,0,8,5,0,0,0
2007,5,7,0,0,0,10,13,1,0,0,0
2007,6,6,0,0,0,11,0,0,13,0,0
2007,7,0,0,0,0,0,0,0,31,0,0
2007,8,0,0,0,0,2,0,0,29,0,0
2007,9,2,0,0,0,23,0,0,5,0,0
2007,10,15,0,0,0,3,11,1,1,0,0
2007,11,2,0,10,3,0,2,12,0,0,1
2007,12,0,14,0,5,0,0,0,0,0,12
2008,1,0,6,0,8,0,0,0,0,0,17
2008,2,0,9,5,7,0,0,0,0,0,8
2008,3,0,0,3,6,0,0,0,0,12,10
2008,4,0,3,0,0,0,9,18,0,0,0
2008,5,26,0,0,0,0,0,5,0,0,0
2008,6,9,0,0,0,21,0,0,0,0,0
2008,7,0,0,0,0,0,0,0,31,0,0
2008,8,0,0,0,0,5,0,0,26,0,0
2008,9,12,0,0,0,10,0,1,7,0,0
2008,10,0,0,0,0,0,23,8,0,0,0
2008,11,2,0,7,4,0,8,7,0,1,1
2008,12,0,11,3,5,0,0,6,0,0,6
2009,1,0,5,7,0,0,0,0,0,1,18
2009,2,0,3,11,4,0,0,0,0,10,0
2009,3,0,8,5,7,0,0,3,0,3,5
2009,4,0,2,0,0,0,18,9,0,0,1
2009,5,13,0,0,0,2,16,0,0,0,0
2009,6,7,0,0,0,13,0,0,10,0,0
2009,7,0,0,0,0,0,0,0,31,0,0
2009,8,0,0,0,0,2,0,0,29,0,0
2009,9,3,0,0,0,20,0,0,7,0,0
2009,10,7,0,0,0,5,18,1,0,0,0
2009,11,0,0,0,0,0,13,5,0,0,12
2009,12,0,4,7,0,0,0,1,0,13,6
2010,1,0,14,6,0,0,0,1,0,10,0
2010,2,0,1,6,0,0,0,0,0,18,3
2010,3,0,0,9,0,0,0,6,0,8,8
2010,4,4,0,0,0,0,11,15,0,0,0
2010,5,22,0,0,0,3,0,6,0,0,0
2010,6,0,0,0,0,11,0,0,19,0,0
2010,7,0,0,0,0,0,0,0,31,0,0
2010,8,0,0,0,0,5,0,0,26,0,0
2010,9,5,0,0,0,12,0,0,13,0,0
2010,10,9,0,0,0,1,10,11,0,0,0
2010,11,0,0,0,0,0,6,14,0,7,3
2010,12,0,3,9,0,0,0,4,0,15,0
2011,1,0,2,13,1,0,0,0,0,3,12
2011,2,0,8,1,0,0,0,0,0,7,12
2011,3,0,10,9,3,0,0,1,0,5,3
2011,4,1,9,1,0,0,16,1,0,0,2
2011,5,7,0,0,0,6,15,3,0,0,0
2011,6,0,0,0,0,19,0,0,11,0,0
2011,7,0,0,0,0,0,0,0,31,0,0
2011,8,0,0,0,0,0,0,0,31,0,0
2011,9,2,0,0,0,23,2,0,3,0,0
2011,10,2,0,0,0,9,18,2,0,0,0
2011,11,2,11,0,3,0,11,0,0,0,3
2011,12,0,1,0,21,0,0,0,0,0,9
2012,1,0,10,2,16,0,0,0,0,0,3
2012,2,0,5,12,12,0,0,0,0,0,0
2012,3,0,20,6,3,0,0,0,0,0,2
2012,4,2,0,1,1,0,0,23,0,3,0
2012,5,15,0,0,0,5,7,4,0,0,0
2012,6,2,0,0,0,20,0,0,8,0,0
2012,7,0,0,0,0,0,0,0,31,0,0
2012,8,0,0,0,0,6,0,0,25,0,0
2012,9,0,0,0,0,26,0,0,4,0,0
2012,10,6,0,0,0,11,7,7,0,0,0
2012,11,0,0,0,0,0,12,14,0,0,4
2012,12,0,6,5,0,0,0,0,0,9,11
2013,1,0,9,4,4,0,0,0,0,9,5
2013,2,0,9,12,5,0,0,0,0,2,0
2013,3,0,0,2,0,0,0,0,0,28,1
2013,4,0,0,0,0,0,12,9,0,6,3
2013,5,15,0,0,0,1,10,5,0,0,0
2013,6,6,0,0,0,8,0,0,16,0,0
2013,7,0,0,0,0,0,0,0,31,0,0
2013,8,0,0,0,0,1,0,0,30,0,0
2013,9,8,0,0,0,12,0,0,10,0,0
2013,10,10,0,0,0,6,15,0,0,0,0
2013,11,0,0,6,0,0,9,11,0,0,4
2013,12,0,5,2,6,0,0,0,0,0,18
2014,1,0,5,0,1,0,0,0,0,9,16
2014,2,0,1,0,0,0,0,1,0,0,26
2014,3,0,8,0,6,0,0,3,0,0,14
2014,4,7,2,2,0,0,10,8,0,1,0
2014,5,15,0,0,0,2,10,4,0,0,0
2014,6,9,0,0,0,7,0,0,14,0,0
2014,7,0,0,0,0,0,0,0,31,0,0
2014,8,0,0,0,0,0,0,0,31,0,0
2014,9,0,0,0,0,10,0,0,20,0,0
2014,10,1,0,0,0,6,24,0,0,0,0
2014,11,1,7,0,0,0,20,2,0,0,0
2014,12,0,5,3,18,0,0,2,0,0,3
2015,1,0,6,0,11,0,0,3,0,3,8
2015,2,0,9,6,3,0,0,0,0,3,7
2015,3,0,10,3,4,0,0,2,0,0,12
2015,4,5,4,3,3,0,3,10,0,0,2
2015,5,0,0,0,0,15,16,0,0,0,0
2015,6,0,0,0,0,18,1,0,11,0,0
2015,7,0,0,0,0,0,0,0,31,0,0
2015,8,0,0,0,0,0,0,0,31,0,0
2015,9,4,0,0,0,5,0,0,21,0,0
2015,10,14,0,0,0,5,12,0,0,0,0
2015,11,0,0,1,4,0,16,4,0,0,5
2015,12,0,7,0,4,0,0,0,0,0,20
2016,1,0,7,2,1,0,0,0,0,16,5
2016,2,0,0,0,7,0,0,7,0,6,9
2016,3,0,7,7,1,0,0,9,0,1,6
2016,4,0,0,0,0,0,4,24,0,0,2
2016,5,16,0,0,0,2,11,1,1,0,0
2016,6,6,0,0,0,7,0,0,17,0,0
2016,7,0,0,0,0,0,0,0,31,0,0
2016,8,0,0,0,0,0,0,0,31,0,0
2016,9,2,0,0,0,16,0,0,12,0,0
2016,10,24,0,0,0,2,5,0,0,0,0
2016,11,1,0,5,0,0,3,19,0,0,2
2016,12,0,16,6,4,0,1,0,0,0,4
2017,1,0,16,9,6,0,0,0,0,0,0
2017,2,0,11,4,6,0,0,0,0,0,7
2017,3,0,9,2,5,0,1,3,0,3,8
2017,4,0,1,1,3,0,7,18,0,0,0
2017,5,20,0,0,0,5,3,3,0,0,0
2017,6,2,0,0,0,21,0,0,7,0,0
2017,7,0,0,0,0,1,0,0,30,0,0
2017,8,0,0,0,0,0,0,0,31,0,0
2017,9,0,0,0,0,12,0,0,18,0,0
2017,10,2,0,2,0,9,17,1,0,0,0
2017,11,0,0,1,4,0,8,15,0,0,2
2017,12,0,3,4,10,0,0,5,0,2,7
2018,1,0,7,0,14,0,0,0,0,1,9
2018,2,0,7,7,4,0,0,0,0,2,8
2018,3,0,0,3,5,0,0,0,0,20,3
2018,4,6,0,0,0,0,12,9,0,2,1
2018,5,15,0,0,0,1,12,0,3,0,0
2018,6,2,0,0,0,9,0,0,19,0,0
2018,7,0,0,0,0,0,0,0,31,0,0
2018,8,0,0,0,0,3,0,0,28,0,0
2018,9,0,0,0,0,20,0,0,10,0,0
2018,10,1,0,0,0,12,12,6,0,0,0
2018,11,5,4,0,0,0,14,3,0,2,2
2018,12,0,14,3,5,0,0,1,0,0,8
2019,1,0,1,11,15,0,0,0,0,3,1
2019,2,0,13,0,1,0,0,0,0,2,12
2019,3,0,5,3,9,0,0,2,0,2,10
2019,4,8,4,2,1,0,6,9,0,0,0
2019,5,13,0,0,0,8,2,8,0,0,0
2019,6,0,0,0,0,7,0,0,23,0,0
2019,7,0,0,0,0,0,0,0,31,0,0
2019,8,0,0,0,0,0,0,0,31,0,0
2019,9,4,0,0,0,15,0,0,11,0,0
2019,10,5,0,0,0,8,15,3,0,0,0
2019,11,0,0,0,0,0,11,19,0,0,0
2019,12,0,7,3,5,0,1,0,0,0,15
2020,1,0,8,1,4,0,0,0,0,0,18
2020,2,0,2,2,6,0,0,0,0,0,19
2020,3,0,7,3,3,0,0,2,0,0,16
2020,4,7,1,1,1,0,3,14,0,2,1
2020,5,10,0,0,0,7,6,8,0,0,0
2020,6,3,0,0,0,5,0,0,22,0,0
2020,7,0,0,0,0,2,0,0,29,0,0
2020,8,0,0,0,0,1,0,0,30,0,0
2020,9,0,0,0,0,14,0,0,16,0,0
2020,10,6,0,0,0,12,11,2,0,0,0
2020,11,1,5,0,3,0,17,3,0,0,1
2020,12,0,2,2,2,0,0,14,0,1,10
