Cluster,OLS_Slope,OLS_p_value,OLS_Significant,R_squared,Theil_Slope,Kendall_tau,Kendall_p_value,Kendall_Significant,Change_%_original,Change_%_vs_mean,Days_per_decade,Mean_frequency
0,-0.1652959155320923,0.021031958906524872,True,0.08842742608910514,-0.20842236538363312,-0.24099277106302244,0.007301505156725161,True,-14.114995254666248,-15.186803555245438,-1.652959155320923,64.21666666666667
3,0.43553764934704103,2.9326729933387696e-09,True,0.4579343134066687,0.3334014496353247,0.5017656181974126,2.2076894277691883e-08,True,35.7552901101742,30.33254532143468,4.35537649347041,84.71666666666667
4,-0.4525701583773271,0.00024592509784104877,True,0.20843438700733763,-0.5838476634476663,-0.32727801008283036,0.00023758721427781423,True,-53.17199503797689,-72.42759315803517,-4.525701583773271,36.86666666666667
