year,month,0,1,2,3,4,5,6
1974,12,0,24,0,0,4,0,3
1975,1,0,26,0,0,4,0,1
1975,2,0,4,0,0,6,0,18
1975,3,0,7,5,0,10,0,9
1975,4,0,0,22,0,0,7,1
1975,5,15,0,3,0,0,13,0
1975,6,17,0,3,10,0,0,0
1975,7,0,0,0,31,0,0,0
1975,8,0,0,0,31,0,0,0
1975,9,19,0,0,5,0,6,0
1975,10,12,0,2,0,0,17,0
1975,11,0,5,8,0,2,9,6
1975,12,0,9,3,0,16,0,3
1976,1,0,12,0,0,18,0,1
1976,2,0,4,0,0,7,0,18
1976,3,0,10,0,0,9,0,12
1976,4,0,4,22,0,0,0,4
1976,5,8,0,4,0,0,19,0
1976,6,23,0,0,6,0,1,0
1976,7,1,0,0,30,0,0,0
1976,8,0,0,0,31,0,0,0
1976,9,30,0,0,0,0,0,0
1976,10,2,0,4,0,0,25,0
1976,11,0,6,5,0,3,14,2
1976,12,0,10,3,0,8,0,10
1977,1,0,14,0,0,11,0,6
1977,2,0,18,1,0,9,0,0
1977,3,0,9,7,0,5,3,7
1977,4,0,7,16,0,2,5,0
1977,5,15,0,2,0,0,14,0
1977,6,23,0,0,7,0,0,0
1977,7,0,0,0,31,0,0,0
1977,8,8,0,0,23,0,0,0
1977,9,28,0,0,2,0,0,0
1977,10,1,0,2,0,0,28,0
1977,11,0,8,6,0,10,5,1
1977,12,0,8,0,0,4,0,19
1978,1,0,21,0,0,5,0,5
1978,2,0,7,0,0,16,0,5
1978,3,0,21,1,0,2,0,7
1978,4,0,1,23,0,1,3,2
1978,5,15,0,7,0,0,9,0
1978,6,25,0,0,5,0,0,0
1978,7,0,0,0,31,0,0,0
1978,8,2,0,0,29,0,0,0
1978,9,28,0,0,1,0,1,0
1978,10,13,0,10,0,0,5,3
1978,11,0,13,0,0,3,10,4
1978,12,0,2,0,0,18,0,11
1979,1,0,10,0,0,12,0,9
1979,2,0,5,0,0,12,0,11
1979,3,0,19,4,0,8,0,0
1979,4,0,1,27,0,0,0,2
1979,5,4,0,8,0,0,19,0
1979,6,9,0,0,21,0,0,0
1979,7,3,0,0,28,0,0,0
1979,8,0,0,0,31,0,0,0
1979,9,24,0,0,6,0,0,0
1979,10,8,0,2,0,0,21,0
1979,11,0,13,6,0,0,4,7
1979,12,0,25,0,0,4,0,2
1980,1,0,5,0,0,18,0,8
1980,2,0,8,0,0,1,0,20
1980,3,0,12,2,0,13,0,4
1980,4,0,2,16,0,1,3,8
1980,5,15,0,9,0,0,7,0
1980,6,5,0,0,25,0,0,0
1980,7,0,0,0,31,0,0,0
1980,8,3,0,0,28,0,0,0
1980,9,23,0,0,7,0,0,0
1980,10,6,0,12,0,0,12,1
1980,11,0,11,9,0,7,2,1
1980,12,0,20,1,0,8,0,2
1981,1,0,4,0,0,18,0,9
1981,2,0,8,0,0,6,0,14
1981,3,0,16,0,0,11,1,3
1981,4,0,0,19,0,1,4,6
1981,5,13,0,5,0,0,13,0
1981,6,16,0,0,14,0,0,0
1981,7,2,0,0,29,0,0,0
1981,8,0,0,0,31,0,0,0
1981,9,18,0,0,10,0,2,0
1981,10,4,0,10,0,0,17,0
1981,11,0,10,6,0,5,3,6
1981,12,0,12,4,0,13,0,2
1982,1,0,2,0,0,19,0,10
1982,2,0,13,0,0,0,0,15
1982,3,0,14,3,0,2,0,12
1982,4,0,0,21,0,0,0,9
1982,5,16,1,4,0,0,10,0
1982,6,26,0,0,4,0,0,0
1982,7,0,0,0,31,0,0,0
1982,8,2,0,0,29,0,0,0
1982,9,22,0,0,3,0,5,0
1982,10,9,0,0,0,0,22,0
1982,11,0,19,2,0,0,5,4
1982,12,0,19,0,0,4,0,8
1983,1,0,21,0,0,7,0,3
1983,2,0,4,0,0,13,0,11
1983,3,0,6,8,0,7,0,10
1983,4,0,8,9,0,0,13,0
1983,5,12,0,4,0,0,15,0
1983,6,18,0,0,11,0,1,0
1983,7,0,0,0,31,0,0,0
1983,8,3,0,0,28,0,0,0
1983,9,19,0,0,11,0,0,0
1983,10,8,0,9,0,0,14,0
1983,11,0,4,7,0,8,9,2
1983,12,0,19,1,0,6,0,5
1984,1,0,26,0,0,3,0,2
1984,2,0,8,1,0,2,0,18
1984,3,0,4,6,0,13,0,8
1984,4,2,0,12,0,0,9,7
1984,5,15,0,6,0,0,10,0
1984,6,13,0,0,17,0,0,0
1984,7,0,0,0,31,0,0,0
1984,8,6,0,0,25,0,0,0
1984,9,23,0,0,6,0,1,0
1984,10,9,1,0,0,0,21,0
1984,11,0,10,2,0,0,15,3
1984,12,0,7,0,0,0,2,22
1985,1,0,7,0,0,17,0,7
1985,2,0,1,0,0,16,0,11
1985,3,0,6,3,0,8,0,14
1985,4,0,7,19,0,0,2,2
1985,5,15,0,6,0,0,10,0
1985,6,21,0,0,9,0,0,0
1985,7,3,0,0,28,0,0,0
1985,8,0,0,0,31,0,0,0
1985,9,26,0,0,4,0,0,0
1985,10,14,0,4,0,0,13,0
1985,11,0,6,12,0,6,0,6
1985,12,0,15,0,0,7,0,9
1986,1,0,18,0,0,11,0,2
1986,2,0,0,1,0,18,0,9
1986,3,0,16,1,0,3,0,11
1986,4,0,3,17,0,3,7,0
1986,5,8,0,0,0,0,23,0
1986,6,12,0,0,18,0,0,0
1986,7,0,0,0,31,0,0,0
1986,8,0,0,0,31,0,0,0
